web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,name,adresse,creation,type,codepostal
"1641919986-91","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PROCUSTE - 492701941 / 00014","https://www.infogreffe.fr/entreprise-societe/492701941-procuste-140206B008090000.html","PROCUSTE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                237 RUE CAPONIERE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 09/11/2006.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920293-171","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SAS PILOT'ELEVAGE - 842581332 / 00017","https://www.infogreffe.fr/entreprise-societe/842581332-sas-pilot-elevage-140218B011110000.html","SAS PILOT'ELEVAGE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                CHAMBRE RÉGIONALE D'AGRICULTURE DE NORMANDIE 6 RUE DES ROQUEMONTS 
                                                
                                                    
                                                        14053 CAEN CEDEX 4
                                                        
                                                            Voir le plan","Immatriculée le 24/09/2018.","Société par actions simplifiée","14053 CAEN CEDEX 4
                                                        
                                                            Voir le plan"
"1641920244-158","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","COFONDER - 834433484 / 00021","https://www.infogreffe.fr/entreprise-societe/834433484-cofonder-140218B000240000.html","COFONDER
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                138 CHEMIN DES OMBRAGES 
                                                
                                                    
                                                        14880 HERMANVILLE-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 08/01/2018.","Société par actions simplifiée","14880 HERMANVILLE-SUR-MER
                                                        
                                                            Voir le plan"
"1641919737-24","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LINEXIA - 791000532 / 00014","https://www.infogreffe.fr/entreprise-societe/791000532-linexia-140213B001560000.html","LINEXIA
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                26 AVENUE DE THIÈS 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 06/02/2013.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919834-49","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LE TANDEM JAUNE - 822879573 / 00035","https://www.infogreffe.fr/entreprise-societe/822879573-le-tandem-jaune-140719B001160000.html","LE TANDEM JAUNE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                90 IMPASSE DE LA COUR MANABLE 
                                                
                                                    
                                                        14950 SAINT-ÉTIENNE-LA-THILLAYE
                                                        
                                                            Voir le plan","Immatriculée le 05/03/2019.","Société à responsabilité limitée","14950 SAINT-ÉTIENNE-LA-THILLAYE
                                                        
                                                            Voir le plan"
"1641920378-193","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CITYKOMI - 813840147 / 00017","https://www.infogreffe.fr/entreprise-societe/813840147-citykomi-140215B011400000.html","CITYKOMI
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                OLYMPUS EFFISCIENCE 9 RUE LÉOPOLD SEDAR SENGHOR 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 02/10/2015.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641919904-68","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","JURIDIQUEMENT WEB - 885231332 / 00010","https://www.infogreffe.fr/entreprise-societe/885231332-juridiquement-web-140720B002730000.html","JURIDIQUEMENT WEB
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                LA COUR DU BERGER 2420 ROUTE DE RUMESNIL 
                                                
                                                    
                                                        14340 CAMBREMER
                                                        
                                                            Voir le plan","Immatriculée le 17/07/2020.","Société par actions simplifiée à associé unique","14340 CAMBREMER
                                                        
                                                            Voir le plan"
"1641920079-116","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","HEYHOP - 754082691 / 00025","https://www.infogreffe.fr/entreprise-societe/754082691-heyhop-140212B010280000.html","HEYHOP
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                1 RUE HENRY SPRIET 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 01/10/2012.","Société par actions simplifiée","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641919768-32","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AGILE - 839873296 / 00017","https://www.infogreffe.fr/entreprise-societe/839873296-agile-140218B006130000.html","AGILE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                6 ESPLANADE RABELAIS 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 29/05/2018.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920042-106","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","DEVCOM3D - 511575045 / 00014","https://www.infogreffe.fr/entreprise-societe/511575045-devcom3d-140209B003330000.html","DEVCOM3D
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                872 CHEMIN DU VAL 
                                                
                                                    
                                                        14123 IFS
                                                        
                                                            Voir le plan","Immatriculée le 09/04/2009.","Société à responsabilité limitée","14123 IFS
                                                        
                                                            Voir le plan"
"1641920029-103","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AWD - 843318593 / 00012","https://www.infogreffe.fr/entreprise-societe/843318593-awd-140218B012720000.html","AWD
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                5 RUE DES FORGES 
                                                
                                                    
                                                        14190 SAINT-GERMAIN-LE-VASSON
                                                        
                                                            Voir le plan","Immatriculée le 26/10/2018.","Société à responsabilité limitée","14190 SAINT-GERMAIN-LE-VASSON
                                                        
                                                            Voir le plan"
"1641920304-174","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OMB INFORMATIQUE - 880878798 / 00011","https://www.infogreffe.fr/entreprise-societe/880878798-omb-informatique-140220B001110000.html","OMB INFORMATIQUE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ZONE INDUSTRIELLE DE LA SPHÈRE 1251 RUE LÉON FOUCAULT 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 23/01/2020.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919799-41","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PAOMEDIA - 504420670 / 00011","https://www.infogreffe.fr/entreprise-societe/504420670-paomedia-140208B004850000.html","PAOMEDIA
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                1 RUE MARTIN LUTHER KING 
                                                
                                                    
                                                        14280 SAINT-CONTEST
                                                        
                                                            Voir le plan","Immatriculée le 11/06/2008.","Société à responsabilité limitée","14280 SAINT-CONTEST
                                                        
                                                            Voir le plan"
"1641919968-86","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","MIND DEV - 888300902 / 00010","https://www.infogreffe.fr/entreprise-societe/888300902-mind-dev-140220B010760000.html","MIND DEV
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                646 ROUTE DES DIGUES 
                                                
                                                    
                                                        14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan","Immatriculée le 25/08/2020.","Société par actions simplifiée à associé unique","14123 FLEURY-SUR-ORNE
                                                        
                                                            Voir le plan"
"1641920055-110","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LFF Entertainment - 899831382 / 00010","https://www.infogreffe.fr/entreprise-societe/899831382-lff-entertainment-140221B008770000.html","LFF Entertainment
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                RUE MICHEL D'ORNANO 
                                                
                                                    
                                                        14700 FALAISE
                                                        
                                                            Voir le plan","Immatriculée le 31/05/2021.","Société par actions simplifiée","14700 FALAISE
                                                        
                                                            Voir le plan"
"1641919874-60","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","A2B2 DEVELOPPEMENT - 831897541 / 00015","https://www.infogreffe.fr/entreprise-societe/831897541-a2b2-developpement-140217B011200000.html","A2B2 DEVELOPPEMENT
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE DES SOURCES 
                                                
                                                    
                                                        14700 VIGNATS
                                                        
                                                            Voir le plan","Immatriculée le 20/09/2017.","Société à responsabilité limitée à associé unique","14700 VIGNATS
                                                        
                                                            Voir le plan"
"1641919937-77","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Five Square - 889758611 / 00012","https://www.infogreffe.fr/entreprise-societe/889758611-five-square-140720B004230000.html","Five Square
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                BÂTIMENT B APPARTEMENT 004 RUE DES MARTROIS RÉSIDENCE GRAND CAP 
                                                
                                                    
                                                        14640 VILLERS-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 08/10/2020.","Société par actions simplifiée","14640 VILLERS-SUR-MER
                                                        
                                                            Voir le plan"
"1641920207-149","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Principal Business Technology - 892666264 / 00015","https://www.infogreffe.fr/entreprise-societe/892666264-principal-business-technology-140221B008920000.html","Principal Business Technology
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ESPACE CONQUÉRANT 3 PLACE JEAN NOUZILLE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 01/06/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920026-102","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","E-Agency - 852300946 / 00013","https://www.infogreffe.fr/entreprise-societe/852300946-e-agency-140219B009400000.html","E-Agency
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                28 RUE DES COTEAUX 
                                                
                                                    
                                                        14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan","Immatriculée le 10/07/2019.","Société à responsabilité limitée","14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan"
"1641919771-33","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","URBAN SENIOR - 830617502 / 00018","https://www.infogreffe.fr/entreprise-societe/830617502-urban-senior-140217B008070000.html","URBAN SENIOR
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                36 AVENUE DE VERDUN 
                                                
                                                    
                                                        14390 CABOURG
                                                        
                                                            Voir le plan","Immatriculée le 30/06/2017.","Société par actions simplifiée","14390 CABOURG
                                                        
                                                            Voir le plan"
"1641920300-173","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","WEBCOUP - 854043858 / 00018","https://www.infogreffe.fr/entreprise-societe/854043858-webcoup-140219B012350000.html","WEBCOUP
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                69 RUE DE L'ORATOIRE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 20/09/2019.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919870-59","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OD.MAN - 901178061 / 00015","https://www.infogreffe.fr/entreprise-societe/901178061-od-man-140221B011120000.html","OD.MAN
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                SAINT-MARIE DE LAUMONT 5 RUE DES PALMIERS 
                                                
                                                    
                                                        14350 SOULEUVRE EN BOCAGE
                                                        
                                                            Voir le plan","Immatriculée le 07/07/2021.","Société par actions simplifiée","14350 SOULEUVRE EN BOCAGE
                                                        
                                                            Voir le plan"
"1641919788-38","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Ma Solution - 531615201 / 00021","https://www.infogreffe.fr/entreprise-societe/531615201-ma-solution-140211B003870000.html","Ma Solution
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                18 RUE DES BOUCHERS 
                                                
                                                    
                                                        14400 BAYEUX
                                                        
                                                            Voir le plan","Immatriculée le 12/04/2011.","Société à responsabilité limitée","14400 BAYEUX
                                                        
                                                            Voir le plan"
"1641920211-150","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PACK RESEAU - 879821684 / 00013","https://www.infogreffe.fr/entreprise-societe/879821684-pack-reseau-140719B005480000.html","PACK RESEAU
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                11 RUE EUGÈNE BOUDIN 
                                                
                                                    
                                                        14360 TROUVILLE-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 16/12/2019.","Société par actions simplifiée à associé unique","14360 TROUVILLE-SUR-MER
                                                        
                                                            Voir le plan"
"1641919856-55","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ADONOS - 832294656 / 00026","https://www.infogreffe.fr/entreprise-societe/832294656-adonos-140221B012480000.html","ADONOS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                402 ROUTE DE CLÉVILLE 
                                                
                                                    
                                                        14670 JANVILLE
                                                        
                                                            Voir le plan","Immatriculée le 30/07/2021.","Société à responsabilité limitée à associé unique","14670 JANVILLE
                                                        
                                                            Voir le plan"
"1641919891-65","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AB CREATION - 848306767 / 00023","https://www.infogreffe.fr/entreprise-societe/848306767-ab-creation-140219B002180000.html","AB CREATION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                14 RUE PAUL DELMET 
                                                
                                                    
                                                        14860 BAVENT
                                                        
                                                            Voir le plan","Immatriculée le 14/02/2019.","Société par actions simplifiée","14860 BAVENT
                                                        
                                                            Voir le plan"
"1641919784-37","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CYGEST - 508298536 / 00022","https://www.infogreffe.fr/entreprise-societe/508298536-cygest-140212B010790000.html","CYGEST
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                PÉRICENTRE 4 147 RUE DE LA DÉLIVRANDE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 18/10/2012.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919724-20","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","GEEKAT - 804843944 / 00021","https://www.infogreffe.fr/entreprise-societe/804843944-geekat-140220B014480000.html","GEEKAT
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                205 RUE SAINT-JEAN 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 04/11/2020.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919884-63","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ACTIVEMOTION-FILES - 853478220 / 00017","https://www.infogreffe.fr/entreprise-societe/853478220-activemotion-files-140219B011520000.html","ACTIVEMOTION-FILES
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                12 RUE DU ROCREUX 
                                                
                                                    
                                                        14610 BASLY
                                                        
                                                            Voir le plan","Immatriculée le 30/08/2019.","Société à responsabilité limitée à associé unique","14610 BASLY
                                                        
                                                            Voir le plan"
"1641919774-34","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","WEBBEL - 814554093 / 00017","https://www.infogreffe.fr/entreprise-societe/814554093-webbel-140215B012690000.html","WEBBEL
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                19 RUE DE JERSEY 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 06/11/2015.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920059-111","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ACCESS-MAN - 832790232 / 00017","https://www.infogreffe.fr/entreprise-societe/832790232-access-man-140217B012540000.html","ACCESS-MAN
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                11 HAMEAU DE NAVARRE CHICHEBOVILLE
                                                
                                                    
                                                        14370 MOULT-CHICHEBOVILLE
                                                        
                                                            Voir le plan","Immatriculée le 20/10/2017.","Société par actions simplifiée","14370 MOULT-CHICHEBOVILLE
                                                        
                                                            Voir le plan"
"1641920329-181","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","forLabs - 838874873 / 00022","https://www.infogreffe.fr/entreprise-societe/838874873-forlabs-140218B004510000.html","forLabs
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                12 RUE FERDINAND BUISSON 
                                                
                                                    
                                                        14280 SAINT-CONTEST
                                                        
                                                            Voir le plan","Immatriculée le 17/04/2018.","Société par actions simplifiée","14280 SAINT-CONTEST
                                                        
                                                            Voir le plan"
"1641920092-119","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AMHAPPY - 899696892 / 00012","https://www.infogreffe.fr/entreprise-societe/899696892-amhappy-140221B008530000.html","AMHAPPY
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                10 RUE DE LA CHAPELLE SAINTE-ANNE 
                                                
                                                    
                                                        14400 TOUR-EN-BESSIN
                                                        
                                                            Voir le plan","Immatriculée le 26/05/2021.","Société par actions simplifiée à associé unique","14400 TOUR-EN-BESSIN
                                                        
                                                            Voir le plan"
"1641919744-26","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","PARKER ET LEWIS - 534020326 / 00011","https://www.infogreffe.fr/entreprise-societe/534020326-parker-et-lewis-140211C000030000.html","PARKER ET LEWIS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 ROUTE D'AUDRIEU 
                                                
                                                    
                                                        14250 TILLY-SUR-SEULLES
                                                        
                                                            Voir le plan","Immatriculée le 16/08/2011.","Groupement d'intérêt économique","14250 TILLY-SUR-SEULLES
                                                        
                                                            Voir le plan"
"1641920141-132","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ALTILOG - 380814285 / 00041","https://www.infogreffe.fr/entreprise-societe/380814285-altilog-140298B004090000.html","ALTILOG
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE DU COMMODORE HALLET 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 01/10/1998.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920324-180","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Neo Xperiences - 839361508 / 00022","https://www.infogreffe.fr/entreprise-societe/839361508-neo-xperiences-140218B005370000.html","Neo Xperiences
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                BÂTIMENT 152 RUE DE LA VIGNE 
                                                
                                                    
                                                        14650 CARPIQUET
                                                        
                                                            Voir le plan","Immatriculée le 09/05/2018.","Société par actions simplifiée","14650 CARPIQUET
                                                        
                                                            Voir le plan"
"1641920321-179","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ACTIVITOUR - 830666681 / 00010","https://www.infogreffe.fr/entreprise-societe/830666681-activitour-140717B002720000.html","ACTIVITOUR
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                25 AVENUE DE LA RÉPUBLIQUE 
                                                
                                                    
                                                        14800 DEAUVILLE
                                                        
                                                            Voir le plan","Immatriculée le 04/07/2017.","Société par actions simplifiée","14800 DEAUVILLE
                                                        
                                                            Voir le plan"
"1641919818-45","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","greenIOTe - 904224979 / 00016","https://www.infogreffe.fr/entreprise-societe/904224979-greeniote-140221B016270000.html","greenIOTe
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                13 RUE DOUMER 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 15/10/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919845-52","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Sitekom - 821079068 / 00028","https://www.infogreffe.fr/entreprise-societe/821079068-sitekom-140216B007290000.html","Sitekom
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                25 RUE HENRI SPRIET 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 28/06/2016.","Société par actions simplifiée","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641919734-23","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CORSITEC - 827570359 / 00014","https://www.infogreffe.fr/entreprise-societe/827570359-corsitec-140217B002030000.html","CORSITEC
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ESPACE JEAN MONNET 8 PLACE DE L'EUROPE 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 10/02/2017.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919930-75","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CEPHEUS TECH - 880040167 / 00012","https://www.infogreffe.fr/entreprise-societe/880040167-cepheus-tech-140219B016710000.html","CEPHEUS TECH
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                5 IMPASSE DES MERLES 
                                                
                                                    
                                                        14440 CRESSERONS
                                                        
                                                            Voir le plan","Immatriculée le 23/12/2019.","Société par actions simplifiée","14440 CRESSERONS
                                                        
                                                            Voir le plan"
"1641920088-118","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","RESSOURCES BIEN ETRE - 848471322 / 00026","https://www.infogreffe.fr/entreprise-societe/848471322-ressources-bien-etre-140219B002410000.html","RESSOURCES BIEN ETRE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                32 AVENUE DE LA LIBERTÉ 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 20/02/2019.","Société à responsabilité limitée à associé unique","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641920285-169","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","ITEKUBE - 534672233 / 00028","https://www.infogreffe.fr/entreprise-societe/534672233-itekube-140211B009600000.html","ITEKUBE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 RUE RAYMONDE BAIL 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 19/09/2011.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920255-161","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SOFT INDUSTRIE - 520080961 / 00029","https://www.infogreffe.fr/entreprise-societe/520080961-soft-industrie-140210B001470000.html","SOFT INDUSTRIE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                32 RUE DU DOCTEUR ARTHUR OPOIS 
                                                
                                                    
                                                        14780 LION-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 10/02/2010.","Société à responsabilité limitée","14780 LION-SUR-MER
                                                        
                                                            Voir le plan"
"1641920192-145","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Sharebooks S.A - 900863291 / 00010","https://www.infogreffe.fr/entreprise-societe/900863291-sharebooks-s-a-140221B010550000.html","Sharebooks S.A
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE CLAUDE BLOCH 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 28/06/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920152-135","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","NET CONCEPTION - 421967878 / 00040","https://www.infogreffe.fr/entreprise-societe/421967878-net-conception-140299B001030000.html","NET CONCEPTION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                107 RUE DE BAYEUX 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 25/02/1999.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919731-22","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LS PC - 529748550 / 00017","https://www.infogreffe.fr/entreprise-societe/529748550-ls-pc-140211B000840000.html","LS PC
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                45 RUE PRINCIPALE LE BOURG
                                                
                                                    
                                                        14610 ANISY
                                                        
                                                            Voir le plan","Immatriculée le 21/01/2011.","Société à responsabilité limitée","14610 ANISY
                                                        
                                                            Voir le plan"
